,Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,Unnamed: 16,Unnamed: 17,Unnamed: 18,liwc_posemo,liwc_prep,liwc_male,liwc_affiliation,liwc_adverb,liwc_conj,liwc_we,liwc_percept,liwc_cause,liwc_function,liwc_money,liwc_motion,liwc_social,liwc_anger,liwc_ingest,liwc_compare,liwc_friend,liwc_auxverb,liwc_discrep,liwc_bio,liwc_home,liwc_shehe,liwc_power,liwc_leisure,liwc_affect,liwc_family,liwc_work,liwc_feel,liwc_verb,liwc_assent,liwc_nonflu,liwc_focuspresent,liwc_reward,liwc_they,liwc_anx,liwc_negemo,liwc_interrog,liwc_focuspast,liwc_you,liwc_article,liwc_sad,liwc_cogproc,liwc_relativ,liwc_hear,liwc_space,liwc_body,liwc_relig,liwc_death,liwc_netspeak,liwc_adj,liwc_health,liwc_insight,liwc_achiev,liwc_tentat,liwc_risk,liwc_quant,liwc_ipron,liwc_differ,liwc_swear,liwc_focusfuture,liwc_filler,liwc_pronoun,liwc_negate,liwc_certain,liwc_informal,liwc_see,liwc_female,liwc_ppron,liwc_i,liwc_drives,liwc_sexual,liwc_time,liwc_number,wc,nrc_negative,nrc_trust,nrc_fear,nrc_anticipation,nrc_surprise,nrc_disgust,nrc_positive,nrc_sadness,nrc_anger,nrc_joy
0,1518850201615626240,@djstephfloss Definitely pulling up to one of those dates!,LeBron James,KingJames,2022-04-26T07:11:21.000Z,Tue Apr 26 07:11:21 +0000 2022,1284,35,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,,1,3,0,0,1,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,9,0,0,0,0,0,0,0,0,0,0
1,1518764034077593600,YESSIR @TheRealJRSmith!! Proud of you Kid!!! Love bro https://t.co/gqwOLnlcdw,LeBron James,KingJames,2022-04-26T01:28:57.000Z,Tue Apr 26 01:28:57 +0000 2022,68687,3200,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/FOS/status/1518742197805400064 ,0,1,,,,,,2,1,1,2,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0
2,1518487919995981824,@CuffsTheLegend 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,LeBron James,KingJames,2022-04-25T07:11:46.000Z,Mon Apr 25 07:11:46 +0000 2022,3167,65,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
3,1518435240150138880,@DWRIGHTWAY1 Makes no damn sense. Kids can’t even get a meal in before the game. Shit half of them probably ain’t even brush their teeth. Hahaha 😷,LeBron James,KingJames,2022-04-25T03:42:27.000Z,Mon Apr 25 03:42:27 +0000 2022,2387,45,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,,1,3,0,1,3,0,0,2,1,12,0,0,4,2,1,1,0,1,0,3,0,0,0,1,3,0,0,1,2,0,0,3,1,2,0,2,0,0,0,2,0,3,2,0,1,2,0,0,1,1,0,1,0,1,0,0,0,0,2,0,0,2,1,0,3,0,0,2,0,2,0,1,1,27,1,0,0,0,0,1,1,0,1,0
4,1518225124658270208,Man playing a game before noon should be outlawed! 8am game is insane!,LeBron James,KingJames,2022-04-24T13:47:31.000Z,Sun Apr 24 13:47:31 +0000 2022,77638,2417,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,,1,1,1,2,0,0,0,0,0,5,0,0,3,0,0,1,0,3,1,0,0,0,0,3,1,0,0,0,4,0,0,2,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,13,1,0,1,0,0,0,0,0,1,0
5,1518006203405594624,Get one stop and its a 3 games series,LeBron James,KingJames,2022-04-23T23:17:36.000Z,Sat Apr 23 23:17:36 +0000 2022,37110,981,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,,0,0,0,1,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,9,0,1,0,0,0,0,0,0,0,0
6,1518004851187232774,LUKA!!!!!!!! 🗣🗣🗣🗣🗣🗣🗣,LeBron James,KingJames,2022-04-23T23:12:14.000Z,Sat Apr 23 23:12:14 +0000 2022,41949,3297,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
7,1517766844379140096,@jj_redick 🙏🏾. Heard you have one damn good podcast too! May have to jump on with you sometime soon,LeBron James,KingJames,2022-04-23T07:26:29.000Z,Sat Apr 23 07:26:29 +0000 2022,41197,1074,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,,1,3,0,0,2,0,0,1,0,10,0,1,3,1,0,0,0,3,0,0,0,0,0,1,2,0,0,0,5,0,0,3,1,0,0,1,0,1,2,0,0,2,4,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,2,0,0,1,0,0,2,0,1,0,2,1,19,1,1,0,1,1,1,2,0,1,2
8,1517766155888254976,@BJwhite Damn right!! 03 was simply INCREDIBLE,LeBron James,KingJames,2022-04-23T07:23:44.000Z,Sat Apr 23 07:23:44 +0000 2022,1376,36,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
9,1517765771060932608,POINT GOD you ain’t right! 😂😂😂😂,LeBron James,KingJames,2022-04-23T07:22:13.000Z,Sat Apr 23 07:22:13 +0000 2022,47802,1506,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0
10,1517661979057426433,I can/will NOT miss the post season again for my career! This shit HURT. Ok back to watching these games.,LeBron James,KingJames,2022-04-23T00:29:47.000Z,Sat Apr 23 00:29:47 +0000 2022,219793,18094,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,,1,2,0,1,2,0,0,2,0,12,0,0,1,1,0,0,0,2,0,1,0,0,0,1,4,0,1,1,3,1,0,2,0,0,0,3,0,0,0,1,2,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,4,1,0,2,1,0,2,2,1,0,3,0,20,1,0,0,1,0,1,1,0,1,0
11,1517661186560458752,@jaytatum0 @Dame_Lillard Facts for!! 🔥🔥🔥🔥🔥🔥 ass pic,LeBron James,KingJames,2022-04-23T00:26:38.000Z,Sat Apr 23 00:26:38 +0000 2022,9549,275,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,2,,,,,,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0
12,1517661099230859264,"Love hearing JJ Redick on the game! Smart, insightful dude. And low key/high key funny!",LeBron James,KingJames,2022-04-23T00:26:17.000Z,Sat Apr 23 00:26:17 +0000 2022,76804,3129,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,,3,1,0,2,0,1,0,1,0,3,0,0,4,0,0,0,1,0,0,1,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,3,1,3,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,15,1,0,1,0,0,0,0,0,0,0
